skill1,skill2,correlation,p_value,abs_correlation
tensorflow,pytorch,0.9071837430990591,4.94037429857316e-198,0.9071837430990591
pytorch,tensorflow,0.9071837430990591,4.94037429857316e-198,0.9071837430990591
matplotlib,plotly,0.8935650923022446,2.3926785778947935e-183,0.8935650923022446
plotly,matplotlib,0.8935650923022446,2.3926785778947935e-183,0.8935650923022446
postgresql,mysql,0.7186410445203264,3.04922522295139e-84,0.7186410445203264
mysql,postgresql,0.7186410445203264,3.04922522295139e-84,0.7186410445203264
tableau,looker,0.6752702536350326,6.893831541732021e-71,0.6752702536350326
looker,tableau,0.6752702536350326,6.893831541732021e-71,0.6752702536350326
redis,mongodb,0.5863452950538363,1.2923693865903544e-49,0.5863452950538363
mongodb,redis,0.5863452950538363,1.2923693865903544e-49,0.5863452950538363
scikit-learn,tensorflow,0.5331232900444078,9.647697491950105e-40,0.5331232900444078
tensorflow,scikit-learn,0.5331232900444078,9.647697491950105e-40,0.5331232900444078
elt,etl,0.5294482875371653,4.007876558624379e-39,0.5294482875371653
etl,elt,0.5294482875371653,4.007876558624379e-39,0.5294482875371653
azure,aws,0.5212421757071594,9.055972334791971e-38,0.5212421757071594
aws,azure,0.5212421757071594,9.055972334791971e-38,0.5212421757071594
dynamodb,mongodb,0.5146098432414884,1.0582966138745385e-36,0.5146098432414884
mongodb,dynamodb,0.5146098432414884,1.0582966138745385e-36,0.5146098432414884
aws,gcp,0.5126112442721802,2.196658162012153e-36,0.5126112442721802
gcp,aws,0.5126112442721802,2.196658162012153e-36,0.5126112442721802
plotly,seaborn,0.4985611480960028,3.259133587167123e-34,0.4985611480960028
seaborn,plotly,0.4985611480960028,3.259133587167123e-34,0.4985611480960028
sas,spss,0.4980806142034548,3.851201749060782e-34,0.4980806142034548
spss,sas,0.4980806142034548,3.851201749060782e-34,0.4980806142034548
scikit-learn,pytorch,0.4928266344564481,2.348344151622371e-33,0.4928266344564481
pytorch,scikit-learn,0.4928266344564481,2.348344151622371e-33,0.4928266344564481
snowflake,dbt,0.488465036217262,1.0287393406154223e-32,0.488465036217262
dbt,snowflake,0.488465036217262,1.0287393406154223e-32,0.488465036217262
hadoop,hive,0.4829414715708963,6.480789964134354e-32,0.4829414715708963
hive,hadoop,0.4829414715708963,6.480789964134354e-32,0.4829414715708963
redshift,bigquery,0.48128073090758977,1.1197550136125302e-31,0.48128073090758977
bigquery,redshift,0.48128073090758977,1.1197550136125302e-31,0.48128073090758977
tableau,powerbi,0.4720054453395271,2.2484777342423062e-30,0.4720054453395271
powerbi,tableau,0.4720054453395271,2.2484777342423062e-30,0.4720054453395271
plotly,elt,0.46500299835820896,2.0387138385761934e-29,0.46500299835820896
elt,plotly,0.46500299835820896,2.0387138385761934e-29,0.46500299835820896
azure,gcp,0.4634952132629873,3.2556822330344974e-29,0.4634952132629873
gcp,azure,0.4634952132629873,3.2556822330344974e-29,0.4634952132629873
computervision,naturallanguageprocessing,0.46271811061784685,4.140184728254303e-29,0.46271811061784685
naturallanguageprocessing,computervision,0.46271811061784685,4.140184728254303e-29,0.46271811061784685
dynamodb,redis,0.4616385198349609,5.775410600853015e-29,0.4616385198349609
redis,dynamodb,0.4616385198349609,5.775410600853015e-29,0.4616385198349609
deeplearning,naturallanguageprocessing,0.4585039511909198,1.5080300338106277e-28,0.4585039511909198
naturallanguageprocessing,deeplearning,0.4585039511909198,1.5080300338106277e-28,0.4585039511909198
datalake,plotly,0.44598971756255607,6.3115306399714184e-27,0.44598971756255607
plotly,datalake,0.44598971756255607,6.3115306399714184e-27,0.44598971756255607
matplotlib,seaborn,0.44549683831671794,7.288568144730671e-27,0.44549683831671794
seaborn,matplotlib,0.44549683831671794,7.288568144730671e-27,0.44549683831671794
kafka,spark,0.4390926880070238,4.6302277858034543e-26,0.4390926880070238
spark,kafka,0.4390926880070238,4.6302277858034543e-26,0.4390926880070238
datamodeling,etl,0.4366053653499166,9.394879892449297e-26,0.4366053653499166
etl,datamodeling,0.4366053653499166,9.394879892449297e-26,0.4366053653499166
airflow,etl,0.4360545021329233,1.0980016870029833e-25,0.4360545021329233
etl,airflow,0.4360545021329233,1.0980016870029833e-25,0.4360545021329233
keras,scikit-learn,0.4352537223285886,1.3766178482282183e-25,0.4352537223285886
scikit-learn,keras,0.4352537223285886,1.3766178482282183e-25,0.4352537223285886
kubernetes,docker,0.43336980568166433,2.3379436296472805e-25,0.43336980568166433
docker,kubernetes,0.43336980568166433,2.3379436296472805e-25,0.43336980568166433
airflow,spark,0.4276682418417998,1.1382740291153472e-24,0.4276682418417998
spark,airflow,0.4276682418417998,1.1382740291153472e-24,0.4276682418417998
elt,dbt,0.41818819998930573,1.48124775039986e-23,0.41818819998930573
dbt,elt,0.41818819998930573,1.48124775039986e-23,0.41818819998930573
matplotlib,elt,0.4126028747128782,6.468352165777113e-23,0.4126028747128782
elt,matplotlib,0.4126028747128782,6.468352165777113e-23,0.4126028747128782
linux,shell,0.4062883737648047,3.312715942223306e-22,0.4062883737648047
shell,linux,0.4062883737648047,3.312715942223306e-22,0.4062883737648047
datalake,matplotlib,0.39641006244757193,3.980977896082752e-21,0.39641006244757193
matplotlib,datalake,0.39641006244757193,3.980977896082752e-21,0.39641006244757193
snowflake,databricks,0.3924026264833429,1.0661295883657634e-20,0.3924026264833429
databricks,snowflake,0.3924026264833429,1.0661295883657634e-20,0.3924026264833429
databricks,datapipeline,0.38879917650637963,2.5558409938020686e-20,0.38879917650637963
datapipeline,databricks,0.38879917650637963,2.5558409938020686e-20,0.38879917650637963
spark,hadoop,0.3875695371364332,3.435913035134301e-20,0.3875695371364332
hadoop,spark,0.3875695371364332,3.435913035134301e-20,0.3875695371364332
airflow,dbt,0.37541167362833616,5.9951996584164885e-19,0.37541167362833616
dbt,airflow,0.37541167362833616,5.9951996584164885e-19,0.37541167362833616
sql,tableau,0.37347952911323773,9.340777028637921e-19,0.37347952911323773
tableau,sql,0.37347952911323773,9.340777028637921e-19,0.37347952911323773
datamodeling,elt,0.36917472232233867,2.4821157904479486e-18,0.36917472232233867
elt,datamodeling,0.36917472232233867,2.4821157904479486e-18,0.36917472232233867
datapipeline,airflow,0.368579687711679,2.837858618319958e-18,0.368579687711679
airflow,datapipeline,0.368579687711679,2.837858618319958e-18,0.368579687711679
dbt,datamodeling,0.36388514359047547,8.085224238234949e-18,0.36388514359047547
datamodeling,dbt,0.36388514359047547,8.085224238234949e-18,0.36388514359047547
datapipeline,etl,0.3636787386974039,8.462772198020514e-18,0.3636787386974039
etl,datapipeline,0.3636787386974039,8.462772198020514e-18,0.3636787386974039
hive,bash,0.358584469541101,2.5832596893643753e-17,0.358584469541101
bash,hive,0.358584469541101,2.5832596893643753e-17,0.358584469541101
java,scala,0.3571788973204707,3.502387135489011e-17,0.3571788973204707
scala,java,0.3571788973204707,3.502387135489011e-17,0.3571788973204707
sql,python,0.35708812226926,3.571733903929653e-17,0.35708812226926
python,sql,0.35708812226926,3.571733903929653e-17,0.35708812226926
aws,ci/cd,0.3535821974361082,7.579781448185363e-17,0.3535821974361082
ci/cd,aws,0.3535821974361082,7.579781448185363e-17,0.3535821974361082
sql,etl,0.35355257057143974,7.627826889555991e-17,0.35355257057143974
etl,sql,0.35355257057143974,7.627826889555991e-17,0.35355257057143974
spark,scala,0.3517550470528863,1.1177734605611983e-16,0.3517550470528863
scala,spark,0.3517550470528863,1.1177734605611983e-16,0.3517550470528863
oracle,mysql,0.34994480206218864,1.6383641513415008e-16,0.34994480206218864
mysql,oracle,0.34994480206218864,1.6383641513415008e-16,0.34994480206218864
reinforcementlearning,naturallanguageprocessing,0.3470594207909972,2.99833821744411e-16,0.3470594207909972
naturallanguageprocessing,reinforcementlearning,0.3470594207909972,2.99833821744411e-16,0.3470594207909972
postgresql,redshift,0.3462276609736278,3.564837904741611e-16,0.3462276609736278
redshift,postgresql,0.3462276609736278,3.564837904741611e-16,0.3462276609736278
computervision,deeplearning,0.346109918146129,3.65309620922996e-16,0.346109918146129
deeplearning,computervision,0.346109918146129,3.65309620922996e-16,0.346109918146129
datamodeling,airflow,0.3455217604131823,4.127150984911817e-16,0.3455217604131823
airflow,datamodeling,0.3455217604131823,4.127150984911817e-16,0.3455217604131823
plotly,datapipeline,0.34460865769417764,4.985325756462224e-16,0.34460865769417764
datapipeline,plotly,0.34460865769417764,4.985325756462224e-16,0.34460865769417764
python,airflow,0.3430420838743145,6.883755555725498e-16,0.3430420838743145
airflow,python,0.3430420838743145,6.883755555725498e-16,0.3430420838743145
hive,spark,0.33940451874696026,1.4460116560759892e-15,0.33940451874696026
spark,hive,0.33940451874696026,1.4460116560759892e-15,0.33940451874696026
bash,postgresql,0.3375517198467162,2.102496616286057e-15,0.3375517198467162
postgresql,bash,0.3375517198467162,2.102496616286057e-15,0.3375517198467162
elt,databricks,0.3353724898766274,3.2549537916828378e-15,0.3353724898766274
databricks,elt,0.3353724898766274,3.2549537916828378e-15,0.3353724898766274
deeplearning,reinforcementlearning,0.33287259228138716,5.3510162007884616e-15,0.33287259228138716
reinforcementlearning,deeplearning,0.33287259228138716,5.3510162007884616e-15,0.33287259228138716
deeplearning,pytorch,0.33224064912001816,6.063166316197047e-15,0.33224064912001816
pytorch,deeplearning,0.33224064912001816,6.063166316197047e-15,0.33224064912001816
kafka,airflow,0.3316941032004128,6.753498033592922e-15,0.3316941032004128
airflow,kafka,0.3316941032004128,6.753498033592922e-15,0.3316941032004128
plotly,docker,0.32781000586460013,1.4442285151096062e-14,0.32781000586460013
plotly,datamodeling,0.32781000586460013,1.4442285151096062e-14,0.32781000586460013
docker,plotly,0.32781000586460013,1.4442285151096062e-14,0.32781000586460013
datamodeling,plotly,0.32781000586460013,1.4442285151096062e-14,0.32781000586460013
mongodb,docker,0.32720116150177725,1.6253803764956066e-14,0.32720116150177725
docker,mongodb,0.32720116150177725,1.6253803764956066e-14,0.32720116150177725
ci/cd,docker,0.3271172167932796,1.6520440590026212e-14,0.3271172167932796
docker,ci/cd,0.3271172167932796,1.6520440590026212e-14,0.3271172167932796
snowflake,elt,0.32685749608676695,1.7372867990717648e-14,0.32685749608676695
elt,snowflake,0.32685749608676695,1.7372867990717648e-14,0.32685749608676695
aws,kubernetes,0.3236965050499569,3.192469874039648e-14,0.3236965050499569
kubernetes,aws,0.3236965050499569,3.192469874039648e-14,0.3236965050499569
deeplearning,tensorflow,0.32273508742038537,3.8360882437721655e-14,0.32273508742038537
tensorflow,deeplearning,0.32273508742038537,3.8360882437721655e-14,0.32273508742038537
dbt,etl,0.32271939032682245,3.847587470188471e-14,0.32271939032682245
etl,dbt,0.32271939032682245,3.847587470188471e-14,0.32271939032682245
databricks,plotly,0.3174324149481538,1.0440476953176468e-13,0.3174324149481538
plotly,databricks,0.3174324149481538,1.0440476953176468e-13,0.3174324149481538
tensorflow,keras,0.3142475753236611,1.8869834394884593e-13,0.3142475753236611
keras,tensorflow,0.3142475753236611,1.8869834394884593e-13,0.3142475753236611
looker,plotly,0.3136356254431326,2.1125491709464536e-13,0.3136356254431326
plotly,looker,0.3136356254431326,2.1125491709464536e-13,0.3136356254431326
redis,cassandra,0.313489811746676,2.1700760960796106e-13,0.313489811746676
cassandra,redis,0.313489811746676,2.1700760960796106e-13,0.313489811746676
ci/cd,snowflake,0.31285471198064896,2.439053979441705e-13,0.31285471198064896
snowflake,ci/cd,0.31285471198064896,2.439053979441705e-13,0.31285471198064896
snowflake,bigquery,0.3123277673305502,2.6867897820402103e-13,0.3123277673305502
bigquery,snowflake,0.3123277673305502,2.6867897820402103e-13,0.3123277673305502
aws,postgresql,0.31107585612094935,3.3784012260459266e-13,0.31107585612094935
postgresql,aws,0.31107585612094935,3.3784012260459266e-13,0.31107585612094935
snowflake,etl,0.31062410007458713,3.668533027380755e-13,0.31062410007458713
etl,snowflake,0.31062410007458713,3.668533027380755e-13,0.31062410007458713
sql,r,0.31038443455731585,3.832218129620233e-13,0.31038443455731585
r,sql,0.31038443455731585,3.832218129620233e-13,0.31038443455731585
scala,kafka,0.3101385990496125,4.0075428467731476e-13,0.3101385990496125
kafka,scala,0.3101385990496125,4.0075428467731476e-13,0.3101385990496125
datapipeline,elt,0.30957095709570975,4.442922916423066e-13,0.30957095709570975
elt,datapipeline,0.30957095709570975,4.442922916423066e-13,0.30957095709570975
mysql,redshift,0.30948601288240324,4.5119380391794207e-13,0.30948601288240324
redshift,mysql,0.30948601288240324,4.5119380391794207e-13,0.30948601288240324
datalake,databricks,0.3093950933886537,4.586970934097294e-13,0.3093950933886537
databricks,datalake,0.3093950933886537,4.586970934097294e-13,0.3093950933886537
datamodeling,looker,0.30824874890248155,5.644504751326948e-13,0.30824874890248155
looker,datamodeling,0.30824874890248155,5.644504751326948e-13,0.30824874890248155
redshift,snowflake,0.3067047914874037,7.453451971462932e-13,0.3067047914874037
snowflake,redshift,0.3067047914874037,7.453451971462932e-13,0.3067047914874037
matlab,r,0.30503019565739603,1.0057796335128242e-12,0.30503019565739603
r,matlab,0.30503019565739603,1.0057796335128242e-12,0.30503019565739603
sql,looker,0.3049543775097608,1.0194725517862668e-12,0.3049543775097608
looker,sql,0.3049543775097608,1.0194725517862668e-12,0.3049543775097608
datapipeline,matplotlib,0.3048150108393341,1.0451198963629715e-12,0.3048150108393341
matplotlib,datapipeline,0.3048150108393341,1.0451198963629715e-12,0.3048150108393341
snowflake,airflow,0.3033911430973455,1.3461104238134129e-12,0.3033911430973455
airflow,snowflake,0.3033911430973455,1.3461104238134129e-12,0.3033911430973455
deeplearning,recommendationsystems,0.30285188934952595,1.4809879466348489e-12,0.30285188934952595
recommendationsystems,deeplearning,0.30285188934952595,1.4809879466348489e-12,0.30285188934952595
databricks,airflow,0.30257237906373674,1.5560130403410636e-12,0.30257237906373674
airflow,databricks,0.30257237906373674,1.5560130403410636e-12,0.30257237906373674
